success,Patch,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
TRUE,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.63272095,0.798057597,0.314463228,0.192140728,0.112919634,0.658753709,0.19279201,0.368152039
TRUE,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.38757324,0.759538448,0.239268973,0.11035046,0.099832566,0.831010453,0.178251121,0.206094238
TRUE,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.72116089,0.670614269,0.396054089,0.235982895,0.117128463,0.547058824,0.192946058,0.101839362
TRUE,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.20126343,0.650249243,0.213507026,0.399136364,0.095301125,0.418604651,0.155256065,0.086884229
TRUE,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784,0.968578272,0.466974407,0.267476261,0.267661692,0.945518453,0.417215975,0.779672659
TRUE,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.20275879,0.846942181,0.604652762,0.1677531,0.199198626,0.723492723,0.312387792,0.543578088
TRUE,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.53320313,0.762687463,0.571763277,0.167640552,0.119649562,0.957915832,0.212728082,0.170869477
TRUE,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498,0.861264986,0.302847058,0.268095762,0.108477666,0.9958159,0.195643239,0.123331503
TRUE,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.96191406,0.833121469,0.200683042,0.001743504,0.118973561,0.931034483,0.21098598,0.18153591
TRUE,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287476,0.582788416,0.178599373,0.084520914,0.075162611,0.553191489,0.132343584,0.158357094
TRUE,732,"15°10'05.9"" N","107°41'30.7"" E","15°09'42.6"" N","107°42'33.0"" E",58.20126343,0.999924246,0.533917248,0.164949894,0.898876404,0.99378882,0.943952802,0.995199263
TRUE,733,"15°10'07.2"" N","107°43'01.9"" E","15°09'15.8"" N","107°44'38.4"" E",63.85079956,0.51011545,0.16207324,0.714207113,0.064738292,0.627862595,0.117374242,0.058446594
TRUE,734,"15°10'08.5"" N","107°44'33.1"" E","15°09'17.1"" N","107°44'39.1"" E",63.85079956,0.340418294,0.221249416,0.771258891,0.061293846,0.990196078,0.115441765,0.055578759
TRUE,735,"15°10'09.9"" N","107°46'04.3"" E","15°09'49.5"" N","107°47'30.7"" E",64.31271362,0.644840442,0.258333921,0.143117815,0.08350119,0.993464052,0.154054054,0.214562654
TRUE,736,"15°10'11.2"" N","107°47'35.5"" E","15°09'50.8"" N","107°47'35.5"" E",62.92300415,0.759643076,0.147972405,0.326013565,0.106891062,0.824561404,0.189249044,0.167260494
TRUE,737,"15°10'12.5"" N","107°49'06.7"" E","15°10'12.5"" N","107°50'46.2"" E",64.77331543,0.404425557,0.238189816,0.082185529,0.872340426,0.072438163,0.133768352,0.115233086
TRUE,738,"15°10'13.7"" N","107°50'37.9"" E","15°10'06.0"" N","107°51'10.1"" E",70.20275879,0.968083767,0.280183166,0.277903587,0.258503401,0.970212766,0.408236347,0.611213188
TRUE,739,"15°10'15.0"" N","107°52'09.1"" E","15°09'47.9"" N","107°52'39.3"" E",66.1473999,0.882057531,0.428618252,0.277108461,0.195121951,0.727272727,0.307692308,0.58202527
TRUE,740,"15°10'16.3"" N","107°53'40.3"" E","15°10'09.5"" N","107°55'04.7"" E",65.23260498,0.922938895,0.411042869,0.560073733,0.234654731,0.945876289,0.37602459,0.193259892
TRUE,741,"15°10'17.5"" N","107°55'11.5"" E","15°09'19.3"" N","107°55'32.6"" E",65.69064331,0.964294024,0.59792912,0.276826262,0.316644993,0.99795082,0.480750247,0.39374458
TRUE,801,"15°08'33.1"" N","107°38'29.7"" E","15°07'55.3"" N","107°39'59.2"" E",66.60287476,0.77555908,0.19623965,0.257960796,0.115483871,0.766595289,0.200728904,0.116399452
TRUE,802,"15°08'34.5"" N","107°40'00.9"" E","15°07'50.8"" N","107°40'00.9"" E",66.1473999,0.868972607,0.216491327,0.056084983,0.152701644,0.896551724,0.260956842,0.267352792
TRUE,803,"15°08'35.8"" N","107°41'32.1"" E","15°08'04.8"" N","107°42'43.4"" E",65.23260498,0.602371891,0.181752801,0.536551178,0.086772292,0.798305085,0.156530409,0.083760183
TRUE,804,"15°08'37.2"" N","107°43'03.3"" E","15°07'06.0"" N","107°44'40.8"" E",64.77331543,0.661525245,0.241911113,0.581505537,0.100171396,0.89001692,0.180075317,0.123022455
TRUE,805,"15°08'38.5"" N","107°44'34.5"" E","15°07'07.3"" N","107°44'41.5"" E",64.77331543,0.638453428,0.312784076,0.517409503,0.082335695,0.715498938,0.147677476,0.062158619
TRUE,806,"15°08'39.8"" N","107°46'05.6"" E","15°07'14.4"" N","107°47'45.1"" E",61.0512085,0.298995594,0.088113748,0.733768106,0.053096289,0.895372233,0.100247804,0.051343872
TRUE,807,"15°08'41.1"" N","107°47'36.8"" E","15°07'15.7"" N","107°47'48.9"" E",61.98983765,0.745821323,0.337201744,0.35440731,0.108746431,0.937360179,0.194883721,0.12935783
TRUE,808,"15°08'42.4"" N","107°49'08.0"" E","15°07'19.9"" N","107°49'21.1"" E",58.67987061,0.651821348,0.282415807,0.032829106,0.098591549,0.433802817,0.16066771,0.1251188
TRUE,809,"15°08'43.7"" N","107°50'39.2"" E","15°08'39.8"" N","107°50'39.2"" E",54.80862427,0.910837194,0.216020554,0.299782127,0.194736842,0.98013245,0.324917673,0.230715782
TRUE,810,"15°08'45.0"" N","107°52'10.4"" E","15°08'45.0"" N","107°53'45.9"" E",55.2979126,0.601778287,0.114249952,0.169236496,0.095898673,0.332635983,0.148876404,0.154831775
TRUE,811,"15°08'46.2"" N","107°53'41.6"" E","15°08'46.2"" N","107°53'46.7"" E",55.2979126,0.609770077,0.082267702,0.022705652,0.11278561,0.42883549,0.178598922,0.23044753
TRUE,812,"15°08'47.5"" N","107°55'12.8"" E","15°08'45.5"" N","107°55'59.1"" E",53.33105469,0.820220973,0.165904701,0.011937149,0.227201258,0.656818182,0.337616822,0.533569319
