success,Patch,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.9823718250342558,0.338947594165802,0.6305891871452332,0.43683781581092096,0.9420035149384886,0.5968819599109131,0.8567451708098324
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.6191393417219364,0.20211809873580933,0.6282303929328918,0.13319088319088318,0.36666666666666664,0.19540229885057472,0.17776068386529564
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.9224109346895052,0.14174555242061615,0.683979868888855,0.1912814731304021,0.8867595818815331,0.31468315301391037,0.6078223869343815
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.8447606380416561,0.017487600445747375,0.735201358795166,0.08683853459972862,0.9302325581395349,0.1588483494663688,0.18462551187205306
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.8514295405250338,0.4690788686275482,0.513758659362793,0.36771844660194175,0.6299376299376299,0.464367816091954,0.6378321078942161
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.9786445852445866,0.38598573207855225,0.5879976153373718,0.5432525951557093,0.9438877755511023,0.6896046852122987,0.6732059214766762
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.9473299142527509,0.15741640329360962,0.5860479474067688,0.2048114434330299,0.9347181008902077,0.33599999999999997,0.42260716680230115
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.8214982431579179,0.062101561576128006,0.8379673957824707,0.06695598264104154,0.9037656903765691,0.12467532467532468,0.20245650707599167
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.8821896153810868,0.08562133461236954,0.7752708792686462,0.1552,0.9837728194726166,0.26810392482034273,0.27334742449831945
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.9612264708269822,0.09310931712388992,0.7301353812217712,0.2710327455919396,0.9539007092198581,0.42212632404864664,0.734232442669774
True,732,"15°10'05.9"" N","107°41'30.7"" E","15°09'42.6"" N","107°42'33.0"" E",58.201263427734375,0.8828394922222944,0.3175686001777649,0.6254738569259644,0.4096774193548387,0.7888198757763976,0.5392781316348195,0.7060579392039927
True,733,"15°10'07.2"" N","107°43'01.9"" E","15°09'15.8"" N","107°44'38.4"" E",63.850799560546875,0.9456893308607683,0.01506920624524355,0.8420336246490479,0.2762237762237762,0.9045801526717557,0.4232142857142857,0.6251774830748259
True,734,"15°10'08.5"" N","107°44'33.1"" E","15°09'17.1"" N","107°44'39.1"" E",63.850799560546875,0.8141100022727743,0.09152664244174957,0.9093980193138123,0.11313950867703403,0.984313725490196,0.202951283606226,0.2605557470988363
True,735,"15°10'09.9"" N","107°46'04.3"" E","15°09'49.5"" N","107°47'30.7"" E",64.31271362304688,0.7005799303499014,0.14225178956985474,0.8351735472679138,0.09427609427609428,0.9760348583877996,0.1719439646900787,0.2203268636370407
True,736,"15°10'11.2"" N","107°47'35.5"" E","15°09'50.8"" N","107°47'35.5"" E",62.923004150390625,0.9750880913843463,0.05293074995279312,0.8850821852684021,0.27897838899803534,0.9964912280701754,0.43591711435149655,0.812917951943711
True,737,"15°10'12.5"" N","107°49'06.7"" E","15°10'12.5"" N","107°50'46.2"" E",64.7733154296875,0.8742758880554585,0.052060309797525406,0.6670311689376831,0.2129086336965633,0.8975265017667845,0.3441734417344174,0.3081377585620936
True,738,"15°10'13.7"" N","107°50'37.9"" E","15°10'06.0"" N","107°51'10.1"" E",70.2027587890625,0.7904658301891004,0.14039643108844757,0.633816659450531,0.10446062812926718,0.9765957446808511,0.18873355263157893,0.31323792346160106
True,739,"15°10'15.0"" N","107°52'09.1"" E","15°09'47.9"" N","107°52'39.3"" E",66.14739990234375,0.7919768591611018,0.29784324765205383,0.5305179357528687,0.3897338403041825,0.5647382920110193,0.4611923509561305,0.5451417345892096
True,740,"15°10'16.3"" N","107°53'40.3"" E","15°10'09.5"" N","107°55'04.7"" E",65.23260498046875,0.8617036908331939,0.28611519932746887,0.6319366693496704,0.18081002892960463,0.9664948453608248,0.30463038180341184,0.128082575452122
True,741,"15°10'17.5"" N","107°55'11.5"" E","15°09'19.3"" N","107°55'32.6"" E",65.69064331054688,0.9690664682402901,0.43380147218704224,0.45278939604759216,0.3596958174904943,0.9692622950819673,0.5246810870770937,0.49217258250699597
True,801,"15°08'33.1"" N","107°38'29.7"" E","15°07'55.3"" N","107°39'59.2"" E",66.60287475585938,0.7766812948416985,0.028790442273020744,0.8094373941421509,0.09881847475832438,0.9850107066381156,0.17961733697774307,0.11602733139804758
True,802,"15°08'34.5"" N","107°40'00.9"" E","15°07'50.8"" N","107°40'00.9"" E",66.14739990234375,0.9779696090271643,0.09049363434314728,0.8294718861579895,0.30141843971631205,0.9770114942528736,0.46070460704607047,0.7433172015345981
True,803,"15°08'35.8"" N","107°41'32.1"" E","15°08'04.8"" N","107°42'43.4"" E",65.23260498046875,0.8956577027684217,0.02175753191113472,0.8648480772972107,0.15819829717110684,0.976271186440678,0.27227605766958163,0.5653164981942497
True,804,"15°08'37.2"" N","107°43'03.3"" E","15°07'06.0"" N","107°44'40.8"" E",64.7733154296875,0.9281838373778643,0.10276693105697632,0.9234271049499512,0.24289953370072065,0.9695431472081218,0.3884745762711865,0.4269026170592407
True,805,"15°08'38.5"" N","107°44'34.5"" E","15°07'07.3"" N","107°44'41.5"" E",64.7733154296875,0.8065210033779998,0.11431286484003067,0.8495187163352966,0.17510944340212634,0.5944798301486199,0.27053140096618356,0.43576546918686687
True,806,"15°08'39.8"" N","107°46'05.6"" E","15°07'14.4"" N","107°47'45.1"" E",61.05120849609375,0.9538265052802345,0.014096752740442753,0.8285245895385742,0.2578616352201258,0.9899396378269618,0.40914760914760917,0.6203771403202958
True,807,"15°08'41.1"" N","107°47'36.8"" E","15°07'15.7"" N","107°47'48.9"" E",61.989837646484375,0.983280841536128,0.12736164033412933,0.8122279644012451,0.31805157593123207,0.9932885906040269,0.481823114487249,0.754113368759436
True,808,"15°08'42.4"" N","107°49'08.0"" E","15°07'19.9"" N","107°49'21.1"" E",58.67987060546875,0.6895745442066603,0.18714770674705505,0.36675435304641724,0.7074829931972789,0.29295774647887324,0.41434262948207173,0.33260683735315694
True,809,"15°08'43.7"" N","107°50'39.2"" E","15°08'39.8"" N","107°50'39.2"" E",54.808624267578125,0.9428237110186366,0.012640750966966152,0.9053140878677368,0.23963868225292242,0.9955849889624724,0.38629550321199146,0.3907956479725893
True,810,"15°08'45.0"" N","107°52'10.4"" E","15°08'45.0"" N","107°53'45.9"" E",55.29791259765625,0.9308538078301823,0.06137808784842491,0.8656361103057861,0.1956521739130435,0.9790794979079498,0.3261324041811847,0.35065341726417254
True,811,"15°08'46.2"" N","107°53'41.6"" E","15°08'46.2"" N","107°53'46.7"" E",55.29791259765625,0.9769101750350135,0.022797219455242157,0.8114261031150818,0.38247863247863245,0.9926062846580407,0.552185089974293,0.7284539556783074
True,812,"15°08'47.5"" N","107°55'12.8"" E","15°08'45.5"" N","107°55'59.1"" E",53.3310546875,0.9736444465576264,0.054746393114328384,0.8351200819015503,0.27932203389830507,0.9363636363636364,0.43028720626631856,0.7853525875360731
True,813,"15°08'48.7"" N","107°56'44.0"" E","15°07'23.3"" N","107°58'06.5"" E",69.30996704101562,0.9337466187251944,0.21846513450145721,0.7892038226127625,0.1842434347644852,0.9671772428884027,0.30952380952380953,0.5391115401329176
True,872,"15°07'03.1"" N","107°38'31.1"" E","15°05'37.7"" N","107°38'48.2"" E",66.60287475585938,0.9270272115108538,0.10450097918510437,0.8018527626991272,0.17995356037151702,0.9587628865979382,0.303030303030303,0.5107505730924202
True,873,"15°07'04.5"" N","107°40'02.3"" E","15°06'16.9"" N","107°41'17.7"" E",84.72705078125,0.9166723006111465,0.06799568235874176,0.7629780769348145,0.13750874737578728,0.891156462585034,0.23825401636859656,0.6026651461023063
True,874,"15°07'05.8"" N","107°41'33.5"" E","15°05'31.7"" N","107°42'05.6"" E",68.41244506835938,0.8780905244879678,0.08720462769269943,0.8656588792800903,0.1655320673593694,0.8369565217391305,0.2763984445109184,0.47287859177352637
True,875,"15°07'07.1"" N","107°43'04.7"" E","15°06'01.1"" N","107°43'22.7"" E",67.9619140625,0.8403136503469546,0.10661446303129196,0.7248727083206177,0.1504265828468792,0.6935817805383023,0.24723247232472323,0.4664571116118597
True,876,"15°07'08.4"" N","107°44'35.8"" E","15°06'40.3"" N","107°44'47.9"" E",66.60287475585938,0.8366403722423825,0.03365479037165642,0.7274439334869385,0.27966976264189886,0.6809045226130653,0.39648866130212146,0.511167184994059
True,877,"15°07'09.7"" N","107°46'07.0"" E","15°06'19.3"" N","107°47'45.5"" E",61.989837646484375,0.8826530063886968,0.12270340323448181,0.8187882900238037,0.4568854568854569,0.6561922365988909,0.5386949924127465,0.6668143053915561
True,878,"15°07'11.0"" N","107°47'38.2"" E","15°05'53.4"" N","107°48'52.6"" E",64.31271362304688,0.9103038614718615,0.04334893450140953,0.9104511737823486,0.10655981003265064,0.9573333333333334,0.19177350427350429,0.5234407037463443
True,879,"15°07'12.3"" N","107°49'09.4"" E","15°06'21.9"" N","107°49'12.4"" E",61.521209716796875,0.8744057049035623,0.07480663061141968,0.6850931644439697,0.11561631139944394,0.974609375,0.2067108533554267,0.5459800310804572
True,880,"15°07'13.6"" N","107°50'40.6"" E","15°06'05.7"" N","107°50'42.6"" E",56.2718505859375,0.9918996992167726,0.19430582225322723,0.724115252494812,0.4679113185530922,0.9876847290640394,0.6349960411718132,0.8281796905677146
True,881,"15°07'14.9"" N","107°52'11.7"" E","15°06'06.0"" N","107°52'11.7"" E",52.83526611328125,0.991779120344502,0.11475864052772522,0.7573661208152771,0.37767756482525366,0.9738372093023255,0.5442729488220958,0.8585663541710287
True,882,"15°07'16.1"" N","107°53'42.9"" E","15°07'16.1"" N","107°55'16.4"" E",47.26788330078125,0.7752120159395115,0.019812732934951782,0.8288969397544861,0.04793545325106787,0.9483568075117371,0.09125818838942851,0.22252336916718424
True,883,"15°07'17.4"" N","107°55'14.1"" E","15°05'49.1"" N","107°55'35.2"" E",47.782989501953125,0.9480804221610891,0.031804438680410385,0.8939567804336548,0.17452830188679244,0.9765395894428153,0.29613161405068916,0.39609097469665233
True,884,"15°07'18.6"" N","107°56'45.3"" E","15°07'18.6"" N","107°57'54.7"" E",68.86181640625,0.6032264484467591,0.21025927364826202,0.8763337731361389,0.06292706181471476,0.9588377723970944,0.11810319117208469,0.22592174481506647
True,942,"15°05'31.7"" N","107°37'01.4"" E","15°04'39.3"" N","107°38'25.8"" E",69.30996704101562,0.8130147346095886,0.18552067875862122,0.740458607673645,0.4926590538336052,0.5298245614035088,0.5105663567202028,0.5657824858617329
True,943,"15°05'33.1"" N","107°38'32.6"" E","15°05'03.0"" N","107°38'47.6"" E",70.2027587890625,0.9200221721747937,0.10545127093791962,0.7861877083778381,0.28976640711902113,0.8540983606557377,0.43272425249169433,0.6119409016641295
True,944,"15°05'34.4"" N","107°40'03.7"" E","15°05'10.1"" N","107°41'18.1"" E",67.9619140625,0.7392447863274482,0.044714100658893585,0.7072309255599976,0.08234891285738744,0.9897119341563786,0.15204678362573099,0.15101305160978326
