success,Patch,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.9811624118866118,0.1594359129667282,0.8555747866630554,0.4230477634571645,0.9806678383128296,0.5911016949152542,0.7578419781699094
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.9891550245410611,0.03286229074001312,0.8002671599388123,0.44,0.9581881533101045,0.6030701754385965,0.909376960469891
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.9571324579203558,0.14961537718772888,0.9218870401382446,0.2559556786703601,0.9604989604989606,0.4041994750656168,0.641561760258252
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.9951120890927498,0.028348129242658615,0.9469996690750122,0.6222791293213829,0.9529411764705882,0.7529047250193648,0.9529887610792876
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.9930567932217106,0.012629683129489422,0.8815265893936157,0.44533333333333336,0.9709302325581395,0.6106032906764168,0.8818112664965245
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.9932497349187376,0.16714966297149658,0.8036319017410278,0.6357786357786358,0.9899799599198397,0.774294670846395,0.8966461803060797
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.9891540769633995,0.03342586010694504,0.7197084426879883,0.34893617021276596,0.973293768545994,0.5137039937353172,0.8308884150994138
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.994019406921662,0.012874579057097435,0.9020145535469055,0.28883495145631066,0.99581589958159,0.4477892756349953,0.8036411451242252
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.9945408006185685,0.033876605331897736,0.7225756645202637,0.5668202764976958,0.9979716024340771,0.7229977957384276,0.9175898835664448
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.999804017509523,0.031875934451818466,0.7608855962753296,0.886435331230284,0.9964539007092199,0.9382303839732888,0.9968465852238101
True,732,"15°10'05.9"" N","107°41'30.7"" E","15°09'42.6"" N","107°42'33.0"" E",58.201263427734375,0.9678968031266119,0.13248515129089355,0.849327027797699,0.27454545454545454,0.937888198757764,0.4247538677918425,0.19550586295851902
True,733,"15°10'07.2"" N","107°43'01.9"" E","15°09'15.8"" N","107°44'38.4"" E",63.850799560546875,0.9952002084816928,0.029116488993167877,0.631386399269104,0.6214285714285714,0.9961832061068703,0.7653958944281525,0.9266464429570994
True,734,"15°10'08.5"" N","107°44'33.1"" E","15°09'17.1"" N","107°44'39.1"" E",63.850799560546875,0.9972319676026363,0.016534928232431412,0.9174999594688416,0.6527415143603134,0.9803921568627451,0.7836990595611285,0.958838492091131
True,735,"15°10'09.9"" N","107°46'04.3"" E","15°09'49.5"" N","107°47'30.7"" E",64.31271362304688,0.9964928337031396,0.037559282034635544,0.8789148330688477,0.7129485179407177,0.9956427015250545,0.8309090909090909,0.9226419599003878
True,736,"15°10'11.2"" N","107°47'35.5"" E","15°09'50.8"" N","107°47'35.5"" E",62.923004150390625,0.9965211810012836,0.026417644694447517,0.8065921068191528,0.5997842502696872,0.9754385964912281,0.7428189712758851,0.9602798054411114
True,737,"15°10'12.5"" N","107°49'06.7"" E","15°10'12.5"" N","107°50'46.2"" E",64.7733154296875,0.9889154595325081,0.014633223414421082,0.8709020018577576,0.6385964912280702,0.9646643109540636,0.7684729064039408,0.933807511277492
True,738,"15°10'13.7"" N","107°50'37.9"" E","15°10'06.0"" N","107°51'10.1"" E",70.2027587890625,0.9956468933491104,0.06897200644016266,0.8182609677314758,0.7405582922824302,0.9595744680851064,0.8359592215013902,0.9411737603532199
True,739,"15°10'15.0"" N","107°52'09.1"" E","15°09'47.9"" N","107°52'39.3"" E",66.14739990234375,0.9570036970114323,0.09724277257919312,0.9304317831993103,0.2803030303030303,0.9173553719008265,0.4294003868471954,0.5028832673861362
True,740,"15°10'16.3"" N","107°53'40.3"" E","15°10'09.5"" N","107°55'04.7"" E",65.23260498046875,0.7938411124839655,0.13111522793769836,0.9464354515075684,0.12788693553946914,0.9561855670103093,0.2256004864700517,0.08114021223810085
True,741,"15°10'17.5"" N","107°55'11.5"" E","15°09'19.3"" N","107°55'32.6"" E",65.69064331054688,0.8476783855423348,0.14661812782287598,0.9138443470001221,0.1378299120234604,0.9631147540983607,0.24114930733709597,0.14119630787091073
True,801,"15°08'33.1"" N","107°38'29.7"" E","15°07'55.3"" N","107°39'59.2"" E",66.60287475585938,0.9842189118335923,0.02450723946094513,0.7767002582550049,0.28653113087674714,0.9657387580299786,0.44194022537971583,0.8746483654921398
True,802,"15°08'34.5"" N","107°40'00.9"" E","15°07'50.8"" N","107°40'00.9"" E",66.14739990234375,0.9982911837337995,0.014944201335310936,0.9063947796821594,0.6931818181818182,0.9816091954022989,0.81255946717412,0.9735884587171063
True,803,"15°08'35.8"" N","107°41'32.1"" E","15°08'04.8"" N","107°42'43.4"" E",65.23260498046875,0.9879248545542966,0.019222015514969826,0.7192971706390381,0.39470108695652173,0.9847457627118644,0.5635305528612997,0.8862854813414395
True,804,"15°08'37.2"" N","107°43'03.3"" E","15°07'06.0"" N","107°44'40.8"" E",64.7733154296875,0.9949898565275462,0.010963737964630127,0.9285221695899963,0.5400372439478585,0.9813874788494078,0.6966966966966968,0.9475845044026509
True,805,"15°08'38.5"" N","107°44'34.5"" E","15°07'07.3"" N","107°44'41.5"" E",64.7733154296875,0.9905182726369542,0.013610729947686195,0.9272019863128662,0.42446709916589437,0.9723991507430998,0.5909677419354838,0.8869841941100872
