success,Crop,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.5928920342546794,0.3319112341661005,0.22477917481942422,0.2329192546583851,0.22255192878338279,0.2276176024279211,0.24313186854560787
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.6150219461183426,0.246409889472831,0.3384548792873053,0.25034387895460797,0.3170731707317073,0.2797847809377402,0.3303452636160607
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.6460784313725491,0.4413260013168215,0.1789730181459583,1.0,0.2901960784313726,0.44984802431610943,0.6641284313725488
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.6985191759310997,0.2617546063325687,0.18012135100109566,0.509090909090909,0.4069767441860465,0.4523424878836833,0.46285643308890245
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.5439367311072056,0.4889699671840667,0.1075044632088796,0.0,0.0,0.0,0.5698867311072056
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.5519750519750519,0.6436377150875692,0.06824703510202447,0.0,0.0,0.0,0.573525051975052
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.5744752319078742,0.5936534086609905,0.1959693485474592,0.4463276836158192,0.15831663326653306,0.23372781065088757,0.3213860484186078
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.7507091023580734,0.3782553606226739,0.15444844047232897,0.6451612903225806,0.502092050209205,0.5647058823529412,0.6066090537214073
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.565922920892495,0.21005341095190366,0.22818535858439404,1.0,0.12981744421906694,0.22980251346499103,0.5873229208924948
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.6603006179743188,0.1810954731350796,0.3591143597862802,0.8215767634854771,0.35106382978723405,0.4919254658385093,0.4597413771886125
True,732,"15°10'05.9"" N","107°41'30.7"" E","15°09'42.6"" N","107°42'33.0"" E",58.201263427734375,0.81055900621118,0.5556938756610179,0.13527085145231488,1.0,0.6149068322981367,0.7615384615384616,0.81360900621118
True,733,"15°10'07.2"" N","107°43'01.9"" E","15°09'15.8"" N","107°44'38.4"" E",63.850799560546875,0.5517281102278476,0.20299415455765868,0.17175687712358387,0.7669902912621359,0.15076335877862596,0.25199362041467305,0.2235116097837183
True,734,"15°10'08.5"" N","107°44'33.1"" E","15°09'17.1"" N","107°44'39.1"" E",63.850799560546875,0.5382825058368974,0.240923846891801,0.12902125335715972,0.75,0.12352941176470589,0.21212121212121213,0.1935126066873784
